Name,Source(s) Derived From,Natural or Artificial?
Abalone,Animal Sources,Natural
Abalone Shell,Animal Sources,Natural
Acacia,Plant Sources,Natural
Acacia Fiber,Plant Sources,Natural
Acai Berry Extract,Plant Sources,Natural
Acai Fruit,Plant Sources,Natural
Acai Juice,Plant Sources,Natural
Acerola,Plant Sources,Natural
Acesulfame K,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Acetic Acid,Plant Sources,Natural
Acetylated Monoglycerides,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Acetylcysteine,Other Natural Sources,Natural
Achyranthes,Plant Sources,Natural
Acid Whey,Animal Sources,Natural
Aconitum Napellus,Plant Sources,Natural
Acrylate Polymers,Chemical (Synthetic) Sources,Artificial
Actinium,Other Natural Sources,Natural & Possibly Unsafe
Adenine,"Animal Sources, Plant Sources",Natural
Adenosine Monophosphate,Other Natural Sources,Natural
Adenosine Triphosphate,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Adipic Acid,Chemical (Synthetic) Sources,Artificial
Agar,Plant Sources,Natural
Agaricus,"Other Natural SourcesAgaricus genus of mushrooms are found on or near trees, and in fields. [1]",Natural
Agave Syrup,Plant Sources,Natural
Aged Garlic Extract,Plant Sources,Natural
Agrimonia,Plant Sources,Natural
Ajowan,Plant Sources,Natural
Ajwain,Plant Sources,Natural
Alanine,"Animal Sources, Plant Sources",Natural
Albacore,Animal Sources,Natural
Albumen,Animal Sources,Natural
Alcohol,"Plant Sources, Other Natural Sources",Natural
Alfalfa,Plant SourcesA plant belong to the pea family.,Natural
Alfalfa Concentrate,Plant Sources,Natural
Algae,Plant Sources,Natural
Algae Meal,Plant Sources,Natural
Alginic Acid,Plant Sources,Natural
Alisma,"Plant SourcesAlisma consists of aquatic plants with leaves either floating or submerged, found in a variety of still water habitats around the world (nearly worldwide). [1]",Natural
Alkali,Other Natural Sources,Natural
Alkaline Agent,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Alkaloids,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Allantoin,Other Natural Sources,Natural
Allicin,Plant Sources,Natural
